Unit,Task,Question,Type,Correct Row,Answer,Answer,Answer,Answer
Functions,Procedures,Given def g(): return; y = g(); what is y?,Multiple Choice,F,None,0,'',TypeError
Functions,Procedures,"Given def pair(): return 2, 3; t = pair(); which option best describes t?",Multiple Choice,F,"A tuple containing (2, 3)","A list [2, 3]",Two separate return values that can't be assigned,An int 5
Functions,Procedures,Assume inc adds 1 to its input and dbl multiplies its input by 2; what is dbl(inc(3))?,Multiple Choice,F,8,7,6,9
Functions,Procedures,When is the code inside a function executed?,Multiple Choice,F,When the function is called,When the function is defined with def,When the file is saved,When Python starts
Functions,Procedures,Which line correctly defines a function named hello that takes no parameters?,Multiple Choice,F,def hello():,function hello:,def hello:,def hello[]:
Functions,Procedures,"In a function, what is the main difference between return and print?",Multiple Choice,F,return sends a value back to the caller; print just displays text,return prints text; print sends a value back,Both do the same thing,print stops the function; return continues it
Functions,Procedures,Where should a function's docstring be placed?,Multiple Choice,F,As the first statement inside the function body,Above the def line in a comment,At the end of the file,In a separate .txt file
Functions,Procedures,How many objects can a Python function return?,Multiple Choice,F,"Exactly one object, but it can be a list",At most two objects,Unlimited objects separated by commas,Zero only; Python functions can't return
Functions,Procedures,Which naming style is recommended for function names in Python?,Multiple Choice,F,lowercase_with_underscores (snake_case),camelCase,PascalCase,UPPERCASE
Lists and Loops,Ordered Collections,A variable that holds multiple values in a specific sequence.,Multiple Choice,H,dictionary,random sample,ordered collection,operator
Lists and Loops,Ordered Collections,An unordered collection that has a series of values with their own identifying keys.,Multiple Choice,G,tuple,list/array,set,dict
Lists and Loops,Ordered Collections,A single value stored inside a collection such as a list; accessed by its index..,Multiple Choice,H,index,slice,item/element,length
Lists and Loops,Ordered Collections,The integer position used to locate an element in a list.,Multiple Choice,F,index,item,count,pointer
Lists and Loops,Ordered Collections,An index that counts from the end of a sequence.,Multiple Choice,G,slice,negative index,offset,reverse pointer
Lists and Loops,Ordered Collections,A subsection of a sequence selected with [start:stop:step].,Multiple Choice,G,length,slice,range,window function
Lists and Loops,Ordered Collections,The number of elements contained in a collection.,Multiple Choice,H,capacity,index,length,width
Lists and Loops,Ordered Collections,A property meaning the object can be changed after creation.,Multiple Choice,H,ordered,immutable,mutable,hashable
Lists and Loops,Ordered Collections,"In Python, an ordered, immutable collection of elements written with parentheses.",Multiple Choice,H,list,set,tuple,dict
Lists and Loops,Ordered Collections,"What Python structure is an ordered collection that is mutable and written with square brackets like [1,2,3]?",Multiple Choice,F,list,tuple,ordered collection,element
Lists and Loops,Ordered Collections,"In nums=[10,20,30], the 1 in nums[1] is the ____.",Multiple Choice,F,index,element,length,slice
Lists and Loops,Ordered Collections,"In nums=[4,5,6,7], the -1 in nums[-1] is a ____.",Multiple Choice,F,negative index,index,tuple,length
Lists and Loops,Ordered Collections,The expression nums[1:4] uses a ____ to select a run of elements.,Multiple Choice,G,mutable,slice,element,tuple
Lists and Loops,Ordered Collections,The value returned by len(nums) is the list's ____.,Multiple Choice,F,length,mutable,tuple,slice
Lists and Loops,Ordered Collections,Changing nums[0]=99 shows that a Python list is ____.,Multiple Choice,H,tuple,element,mutable,index
Lists and Loops,Ordered Collections,"A single value inside a list, such as 42 in [3,42,7], is an ____.",Multiple Choice,F,element,index,length,tuple
Lists and Loops,Ordered Collections,"Which term names an ordered collection that is immutable and written with parentheses like (1,2,3)?",Multiple Choice,F,tuple,list,ordered collection,mutable
Lists and Loops,Ordered Collections,The phrase 'items keep their order and can be accessed by position' describes an ____.,Multiple Choice,F,ordered collection,element,dictionary,length
Lists and Loops,Ordered Collections,The expression nums[::2] returns every other item using a ____ with a step.,Multiple Choice,F,slice,index,negative index,element
Lists and Loops,Ordered Collections,"In a list, what is the index of the first element?",Multiple Choice,F,0,1,-1,Depends on the list
Lists and Loops,Ordered Collections,What is the index of the last element in a list named items?,Multiple Choice,G,len(items),len(items) - 1,-1,items[-1]
Lists and Loops,Ordered Collections,"Given nums=[1,2,3]; nums.append([4,5]); what is nums?",Multiple Choice,F,"[1,2,3,[4,5]]","[1,2,3,4,5]","[1,2,3]","[4,5]"
Lists and Loops,Ordered Collections,"Given nums=[1,2,3]; nums.extend([4,5]); what is len(nums)?",Multiple Choice,F,5,3,4,6
Lists and Loops,Ordered Collections,"Given items=[10,20,30]; items.insert(1,15); what is items?",Multiple Choice,F,"[10,15,20,30]","[15,10,20,30]","[10,20,30]","[10,20,15,30]"
Lists and Loops,Ordered Collections,"Given items=[2,4,6,8]; x=items.pop(); what are x and items?",Multiple Choice,F,"x==8 and items==[2,4,6]","x==2 and items==[4,6,8]","x==8 and items==[2,4,6,8]","x==6 and items==[2,4,8]"
Lists and Loops,Ordered Collections,"What does the expression [3,1,4].sort() return?",Multiple Choice,G,None,"[1,3,4]","[4,3,1]",An error
Lists and Loops,Ordered Collections,"Given nums=[5,1,5,2]; what does nums.count(5) return?",Multiple Choice,F,2,1,3,0
Lists and Loops,Ordered Collections,"Given nums=[3,1,2]; nums.sort(); what is nums?",Multiple Choice,G,None,"[1,2,3]","[3,2,1]","[3,1,2]"
Lists and Loops,Ordered Collections,"Given nums=[1,2]; nums += [3,4]; what is nums?",Multiple Choice,F,"[1,2,3,4]","[[1,2],[3,4]]","[1,2,[3,4]]","[3,4]"
Lists and Loops,Ordered Collections,"Given nums=[10,20,30]; 25 in nums evaluates to what?",Multiple Choice,I,'25',25,True,False
Lists and Loops,Ordered Collections,"Given nums=[1,2,3,4]; del nums[1]; what is nums?",Multiple Choice,G,"[2,3,4]","[1,3,4]","[1,2,4]","[1,2,3]"
Lists and Loops,Ordered Collections,"Given nums=['b','a','c']; nums.reverse(); what is nums?",Multiple Choice,F,"['c','a','b']","['a','b','c']","['b','a','c']",None
Lists and Loops,Iterative Loops,A loop that runs a set number of times or over each item in a sequence using the 'for' keyword.,Multiple Choice,G,while loop,for loop,if statement,recursion
Lists and Loops,Iterative Loops,"Any object you can loop over item by item in a for loop (examples: list, tuple, string).",Multiple Choice,F,iterable,iterator,condition,index
Lists and Loops,Iterative Loops,One complete pass of the loop body for a single item or count.,Multiple Choice,H,iterator,traversal,iteration,loop variable
Lists and Loops,Iterative Loops,The variable name that temporarily holds the current item during a for loop.,Multiple Choice,I,index,parameter,constant,loop variable
Lists and Loops,Iterative Loops,"The process of visiting each element in a sequence one by one, usually with a loop.",Multiple Choice,F,traversal,break,continue,loop scope
Lists and Loops,Iterative Loops,"The set of names available inside the loop body (e.g., the loop variable and variables defined before or within the loop).",Multiple Choice,F,loop scope,global scope,iterator,file scope
Lists and Loops,Iterative Loops,A statement that immediately exits the nearest enclosing loop.,Multiple Choice,F,break,continue,return,pass
Lists and Loops,Iterative Loops,A statement that skips the rest of the current loop iteration and moves to the next one.,Multiple Choice,F,continue,break,stop,exit
Lists and Loops,Iterative Loops,"Which option loops over both index and value in nums=[10,20,30]?",Multiple Choice,F,"for i, v in enumerate(nums):","for i, v in nums.items():",for i in nums.values():,for v of enumerate(nums):
Lists and Loops,Iterative Loops,What is the effect of break inside a for loop?,Multiple Choice,G,Skips to the next iteration,Immediately exits the loop,Restarts the loop from the top,Exits the entire program
Lists and Loops,Iterative Loops,What is the effect of continue inside a for loop?,Multiple Choice,F,Skips the rest of the current iteration,Exits the loop,Repeats the current iteration,Throws an exception
Lists and Loops,Iterative Loops,How many times does for i in range(3): run the loop body?,Multiple Choice,H,"2 times (i = 1,2)",4 times (i = 0..3),"3 times (i = 0,1,2)",It depends on list length
Lists and Loops,Iterative Loops,Which option correctly traverses all characters in s='cat'?,Multiple Choice,H,for ch of s:,for s in ch:,for ch in s:,for ch in range(s):
Lists and Loops,Iterative Loops,"Given nums=[1,2]; out=[]; for n in nums: out.append(n*2); what is out after the loop?",Multiple Choice,F,"[2,4]","[1,2,1,2]","[1,2]",Error: append needs two args
Lists and Loops,Iterative Loops,"In nums=[10,20,30], what do i and v represent in for i, v in enumerate(nums):?",Multiple Choice,F,"i is the index, v is the element value","i is the value, v is the next index",i and v are both values,i and v are both indexes
Lists and Loops,Iterative Loops,What is printed by: for i in range(3): print(i)?,Multiple Choice,F,0 1 2 (each on its own line),1 2 3 (each on its own line),0 1 2 (on one line),1 2 3 (on one line)
Lists and Loops,Iterative Loops,What is the value of total after: total=0; for i in range(4): total += i?,Multiple Choice,G,4,6,10,Error: total needs to be a list
Lists and Loops,Iterative Loops,What does this code print? for ch in 'dog': if ch=='o': break; print(ch),Multiple Choice,F,d,do,dog,
Lists and Loops,Iterative Loops,What does this code print? for ch in 'cat': if ch=='a': continue; print(ch),Multiple Choice,F,c t (each on its own line),cat (on one line),c a t (each on its own line),Nothing.
Lists and Loops,Iterative Loops,What is the value of s after: s=''; for i in range(3): s += str(i)?,Multiple Choice,F,'012','123','3','0 1 2'
Lists and Loops,Nested Collections,Providing multiple indices to find an element in a list that is itself an element in another list.,Multiple Choice,F,multi-dimensional,constant,return value,conversion
Dictionaries and Objects,Unordered Collections,"A variable that holds many individual values in no particular order, because each value has its own key.",Multiple Choice,F,unordered collection,argument,literal,camelCase
Dictionaries and Objects,Unordered Collections,An unordered collection that has a series of values with their own identifying keys.,Multiple Choice,H,list,scope,dictionary,boolean
Dictionaries and Objects,Unordered Collections,"A word that represents a value in an unordered collection, or the value of a property.",Multiple Choice,F,key,assignment,index,datatype
Dictionaries and Objects,Unordered Collections,"Given d={'a':1,'b':2}; what does d['a'] evaluate to?",Multiple Choice,F,1,'a',['a'],KeyError
Dictionaries and Objects,Unordered Collections,Given d={'x':1}; d['y']=3; what is d?,Multiple Choice,F,"{'x':1,'y':3}",{'x':1},{'y':3},"{'x':1,'y':[3]}"
Dictionaries and Objects,Unordered Collections,Which test checks whether 'id' is a key in d?,Multiple Choice,F,'id' in d,d.contains('id'),in d.keys('id'),id in d.values()
Dictionaries and Objects,Unordered Collections,After d={'a':1}; d['a']=5; what is len(d)?,Multiple Choice,H,0,2,1,5
Dictionaries and Objects,Unordered Collections,What happens when you access d['z'] and 'z' is not a key?,Multiple Choice,I,Returns 0,Returns '',Returns None,Raises KeyError
Dictionaries and Objects,Unordered Collections,"In {'a':1,'a':2}, what is the value of 'a'?",Multiple Choice,F,2 (the last assignment wins),1 (the first assignment wins),Both 1 and 2 are stored,Undefined behavior
Dictionaries and Objects,Unordered Collections,Which statement is true about dictionary keys?,Multiple Choice,H,Keys must be strings,Keys can be lists,"Keys must be immutable types like str, int, or tuple",Keys must be unique only within values
Dictionaries and Objects,Unordered Collections,"Given d={'0':'zero', 0:'number zero'}, what does d[0] return?",Multiple Choice,H,'zero',KeyError,number zero,0
Dictionaries and Objects,Unordered Collections,"Given d={'a':1,'b':2}, what does d['a'] evaluate to?",Multiple Choice,H,'a',KeyError,1,['a']
Dictionaries and Objects,Unordered Methods,"Given d={'k':9,'m':8}; del d['k']; what is d now?",Multiple Choice,G,{},{'m':8},{'k':9},"{'k':9,'m':8}"
Dictionaries and Objects,Unordered Methods,Given d={'x':7}; what does len(d) evaluate to?,Multiple Choice,F,1,7,'x',KeyError
Dictionaries and Objects,Unordered Methods,Which expression returns 0 if 'missing' is not a key in d?,Multiple Choice,H,d['missing'] or 0,"d.default('missing',0)","d.get('missing',0)",0 if 'missing' not in d else d['missing']
Dictionaries and Objects,Unordered Methods,What does d.items() produce?,Multiple Choice,G,A list of keys,"An iterable of (key, value) pairs",A list of values,A copy of the dictionary
Dictionaries and Objects,Unordered Methods,Which method returns a view of just the values in d?,Multiple Choice,I,d.value(),d.items(),d.keys(),d.values()
Dictionaries and Objects,Unordered Methods,"Which method adds all key-value pairs from e into d, overwriting existing keys in d?",Multiple Choice,F,d.update(e),d.extend(e),d.merge(e),d.append(e)
Dictionaries and Objects,Unordered Methods,"In for k in d:, what does k represent?",Multiple Choice,F,Each key in d,Each value in d,"Each (key,value) pair",Each index position
Dictionaries and Objects,Unordered Methods,"Which call removes key 'x' and returns its value, or 0 if 'x' is missing?",Multiple Choice,G,"d.get('x', 0)","d.pop('x', 0)",del d['x'] or 0,"d.remove('x', 0)"
Dictionaries and Objects,Unordered Methods,Which method returns a value you can loop over to get keys only?,Multiple Choice,I,d.items(),d.values(),list(d),d.keys()
Dictionaries and Objects,Unordered Methods,Which method removes all key-value pairs from d?,Multiple Choice,H,del d,d.erase(),d.clear(),d.empty()
Dictionaries and Objects,Unordered Methods,Given a={'x':1}; b=a.copy(); a['x']=9; what is b['x']?,Multiple Choice,F,1,9,KeyError,None
Dictionaries and Objects,Unordered Methods,Which loop goes through both key and value?,Multiple Choice,F,"for k, v in d.items():","for v in d.values(), k in d.keys():","for k, v in d:",for pair in d.keys():
Dictionaries and Objects,Unordered Methods,Which loop iterates over both keys and values of d?,Multiple Choice,F,"for k, v in d.items():","for k, v in d:","for (k, v) in d.keys():","for k in d.keys(), v in d.values():"
Dictionaries and Objects,Unordered Methods,Which test checks if 'id' is a key in d?,Multiple Choice,I,id in d.values(),d.has('id'),d.keys('id'),'id' in d
Dictionaries and Objects,Unordered Methods,Given d={'a':1}; what happens if you evaluate d['b'] when 'b' is not a key?,Multiple Choice,G,Returns None,Raises KeyError,Returns 0,Creates key 'b'
Dictionaries and Objects,Unordered Methods,Which expression checks if key 'user' exists in d?,Multiple Choice,F,'user' in d,d.contains('user'),'user' in d.values(),d.has_key('user')
Dictionaries and Objects,Unordered Methods,"Given d={'x':1,'y':2}; which expression produces a list of keys?",Multiple Choice,I,d.values(),d.items(),list(d.values()),list(d.keys())
Dictionaries and Objects,Unordered Methods,"Given d={'a':1,'b':2}; which one safely returns 0 when 'c' is not present?",Multiple Choice,G,d['c'] or 0,"d.get('c',0)","d.value('c',0)","d.fetch('c',0)"
Dictionaries and Objects,Unordered Methods,Given d={'p':1}; e={'q':2}; which expression updates d with e in-place?,Multiple Choice,G,d.merge(e),d.update(e),d.append(e),e.update(d) then use e
Dictionaries and Objects,Unordered Methods,"Given d={'b':2,'a':1}, what does sorted(d) return?",Multiple Choice,F,"['a','b']","[1,2]","[('a',1),('b',2)]","['b','a']"
Dictionaries and Objects,Unordered Methods,"Given d={'a':1} and e={'b':2}, which creates a new merged dict without changing d or e (Python 3.9+)?",Multiple Choice,G,d.update(e),d | e,"{**d, **e}",e.update(d) and use d
Dictionaries and Objects,Unordered Methods,What does d.get('z') return when 'z' is not a key and no default is provided?,Multiple Choice,I,KeyError,0,'',None
Dictionaries and Objects,Unordered Methods,"What does d.pop('x', 0) do if 'x' is not a key in d?",Multiple Choice,F,Returns 0 and leaves d unchanged,Raises KeyError,Adds 'x' with value 0 to d,Returns None and leaves d unchanged
Dictionaries and Objects,Unordered Methods,Which statement removes key 'k' and raises an error if 'k' is missing?,Multiple Choice,F,del d['k'],"d.pop('k', None)",d.clear('k'),d.discard('k')
Dictionaries and Objects,Unordered Methods,Given d={'p':1}; e={'q':2}; which expression updates d with e in-place?,Multiple Choice,G,d.merge(e),d.update(e),d.append(e),e.update(d) then use e
Classes and Modules,Modules,A file containing pre-made code that can be imported into other programs for easy use.,Multiple Choice,F,module,library,class,object
Classes and Modules,Modules,Loading a module into your program for use.,Multiple Choice,G,module,import,constructor,inheritance
Classes and Modules,Classes,"A collection of data and functions bundled together, often representing a real-world concept.",Multiple Choice,F,object,property,method,class
Classes and Modules,Classes,A value or characteristic that belongs to an object.,Multiple Choice,G,method,property,constructor,inheritance
Classes and Modules,Classes,A function that belongs to an object and can perform actions on the object or its data.,Multiple Choice,H,object,class,method,constructor
Classes and Modules,Classes,A blueprint used to create objects with similar structure and behavior.,Multiple Choice,I,property,method,inheritance,class
Classes and Modules,Classes,A special method used to initialize a new object when it is created.,Multiple Choice,F,constructor,method,property,class
Classes and Modules,Classes,A mechanism that allows one class to use the properties and methods of another class.,Multiple Choice,G,object,inheritance,constructor,method
